2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
27,Oklahoma City,Oklahoma,649021,579999,11.9,1570.3,407,35°28′02″N 97°30′49″W,"Oklahoma City (/oʊkləˌhoʊmə -/), often shortened to OKC, is the capital and largest city of the U.S. state of Oklahoma. The county seat of Oklahoma County, the city ranks 27th among United States cities in population. The population grew following the 2010 Census, with the population estimated to have increased to 649,021 as of July 2018. The Oklahoma City metropolitan area had a population of 1,396,445, and the Oklahoma City-Shawnee Combined Statistical Area had a population of 1,469,124 residents, making it Oklahoma's largest municipality and metropolitan area by population.   ","OKC, The 405, The City, The Big Friendly","Oklahoma, Canadian, Cleveland, Pottawatomie",Council – Manager,,David Holt (R),"601.11 sq mi (1,556.87 km2)",19.23 sq mi (49.81 km2),"1,396,445 (US: 41st)","1,201 ft (366 m)",,UTC−6 (CST),"73101-73132, 73134-73137, 73139-73160, 73162-73165, 73167, 73169-73170, 73172-73173, 73178-73179, 73184-73185, 73189-73190, 73194-73196, 73198, 74013",405,40-55000,,Oklahoma City official website,1556.87,49.81,,366.0
28,Las Vegas,Nevada,644644,583756,10.43,348.1,1818,36°13′45″N 115°15′36″W,"Las Vegas (/lɑːs ˈveɪɡəs/, Spanish for ""The Meadows""; Spanish: [laz ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert. Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.","Vegas, Sin City,  City of Lights, The Gambling Capital of the World, The Entertainment Capital of the World, Capital of Second Chances, The Marriage Capital of the World, The Silver City, America's Playground",Clark,Council–manager,,Carolyn Goodman (I),135.8 sq mi (352 km2),0.05 sq mi (0.1 km2),"2,227,053","2,001 ft (610 m)",2462015.0,UTC−8 (PST),,"702,725",32-40000,LAS,lasvegasnevada.gov,352.0,0.1,2227053.0,610.0
29,Louisville,Kentucky,620118,597337,3.81,682.5,903,38°09′55″N 85°38′51″W,"Louisville (/ˈluːəvəl/ (listen) LOO-ə-vəl, /ˈluːivɪl/ (listen) LOO-ee-vil, /ˈlʊvəl/ (listen) LUUV-əl) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States. It is one of two cities in Kentucky designated as first-class, the other being Lexington, the state's second-largest city. Louisville is the historical seat and, since 2003, the nominal seat of Jefferson County, located in the northern region of the state, on the border with Indiana.","Derby City, River City,  Gateway to the South, Falls City, The 'Ville",Jefferson,Mayor–council,,Greg Fischer (D),380.46 sq mi (985.4 km2),17.23 sq mi (44.6 km2),26 council members,466 ft (142 m),,UTC-5 (EST),"402xx 400xx, 401xx",502,21-48006,"Louisville International Airport, Bowman Field",LouisvilleKy.gov,985.4,44.6,,142.0
30,Baltimore,Maryland,602495,620961,-2.97,209.5,2934,39°18′00″N 76°36′38″W,"Baltimore (/ˈbɔːltɪmɔːr/) is the largest city in the state of Maryland within the United States. Baltimore was established by the Constitution of Maryland as an independent city in 1729. With a population of 602,495 in 2018, Baltimore is the largest such independent city in the United States.  As of 2017[update], the population of the Baltimore metropolitan area was estimated to be just under 2.802 million, making it the 21st largest metropolitan area in the country. Baltimore is located about 40 miles (60 km) northeast of Washington, D.C., making it a principal city in the Washington-Baltimore combined statistical area (CSA), the fourth-largest CSA in the nation, with a calculated 2018 population of 9,797,063.","Charm City, B'more,",None (Independent city),Mayor–council,Baltimore City Council,Jack Young (D),80.95 sq mi (209.65 km2),11.10 sq mi (28.76 km2)  12.1%,"2,802,789 (US: 21st)",0–480 ft (0–150 m),9797063.0,UTC−5 (EST),"21201-21231, 21233-21237, 21239-21241, 21244, 21250-21252, 21263-21265, 21268, 21270, 21273-21275, 21278-21290, 21297-21298","410,443,667",24-04000,,City of Baltimore,209.65,28.76,,
31,Milwaukee,Wisconsin,592025,594833,-0.47,249.2,2388,43°03′48″N 87°58′00″W,"Milwaukee (/mɪlˈwɔːki/, locally /mɪˈ-/) is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States.  The seat of the eponymous county, it is on Lake Michigan's western shore. Ranked by its estimated 2014 population, Milwaukee was the 31st largest city in the United States. The city's estimated population in 2017 was 595,351. Milwaukee is the main cultural and economic center of the Milwaukee metropolitan area which had a population of 2,043,904 in the 2014 census estimate. It is the second-most densely populated metropolitan area in the Midwest, surpassed only by Chicago. Milwaukee is considered a Gamma global city as categorized by the Globalization and World Cities Research Network with a regional GDP of over $105 billion. ","Cream City, Brew City, Beer City, Brew Town, Beertown, Miltown, The Mil, MKE, The City of Festivals, Deutsch-Athen , The Four","Milwaukee, Washington, Waukesha",Strong mayor-council,,Tom Barrett (D),96.19 sq mi (249.12 km2),0.63 sq mi (1.63 km2),"1,572,245 (US: 39th)",617 ft (188 m),2043904.0,UTC−6 (CST),"53172, 53201-53216, 53218-53228, 53233-53234, 53237, 53259, 53263, 53267-53268, 53274, 53278, 53288, 53290, 53293, 53295",414,55-53000,Milwaukee Mitchell International Airport (MKE),city.milwaukee.gov,249.12,1.63,,188.0
32,Albuquerque,New Mexico,560218,545852,2.63,487.4,1147,35°06′20″N 106°38′51″W,"Albuquerque (/ˈælbəˌkɜːrki/ (listen) AL-bə-kur-kee; Navajo: Beeʼeldííl Dahsinil [pèːʔèltíːl tɑ̀xsɪ̀nɪ̀l]; Eastern Keres: Arawageeki; Jemez: Vakêêke; Zuni: Alo:ke:k'ya; Jicarilla Apache: Gołgéeki'yé), also known locally as Duke City and abbreviated as ABQ, is the most populous city in the U.S. state of New Mexico and the 32nd-most populous city in the United States, with a census-estimated population of 558,545 in 2017. It is the principal city of the Albuquerque metropolitan area, which has 915,927 residents as of July 2018. Albuquerque's Metropolitan statistical area is the 60th-largest in the United States. The Albuquerque MSA population includes the cities of Rio Rancho, Bernalillo, Placitas, Corrales, Los Lunas, Belen, and Bosque Farms, and forms part of the larger Albuquerque–Santa Fe–Las Vegas combined statistical area, with a total population of 1,171,991 in 2016.","ABQ, Burque, The 505, The Duke City, The Q",Bernalillo,Mayor-council government,,Tim Keller (D),187.7 sq mi (486.2 km2),1.8 sq mi (4.7 km2),"915,927 (60th)1,171,991 (Albuquerque–Santa Fe–Las Vegas CSA)","5,312 ft (1,619.1 m)",,UTC−7 (MST),"87101-87125, 87131,87151, 87153, 87154,87158, 87174, 87176,87181, 87184, 87185,87187, 87190-87199","505,575",35-02000,Albuquerque International SunportABQ (Major/International),www.cabq.gov,486.2,4.7,,1619.1
33,Tucson,Arizona,545975,520116,4.97,597.8,888,32°09′11″N 110°52′14″W,"Tucson (/ˈtuːsɒn, tuːˈsɒn/) is a city and the county seat of Pima County, Arizona, United States, and home to the University of Arizona. The 2010 United States Census put the population at 520,116, while the 2015 estimated population of the entire Tucson metropolitan statistical area (MSA) was 980,263. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA), with a total population of 1,010,025 as of the 2010 Census. Tucson is the second-largest populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 33rd largest city and the 58th largest metropolitan area in the United States (2014).","The Old Pueblo, Optics Valley",Pima,Council-manager government,,Jonathan Rothschild (D),236.19 sq mi (611.73 km2),0.32 sq mi (0.82 km2),"1,010,025 (58th)","2,389 ft (728 m)",,UTC−7 (MST (no DST)),85701-85775,520,04-77000,,www.tucsonaz.gov,611.73,0.82,,728.0
34,Fresno,California,530093,494665,7.16,296.3,1762,36°47′01″N 119°47′36″W,"Fresno (/ˈfrɛznoʊ/ FREZ-noh; Spanish for ""ash tree"") is a city in California, United States, and the county seat of Fresno County. It covers about 112 square miles (290 km2) in the center of the San Joaquin Valley, the southern portion of California's Central Valley.",,,,,,,,,,,,,,,,,,,,
35,Mesa,Arizona,508958,439041,15.92,357.2,1357,33°24′07″N 111°43′03″W,"Mesa (/ˈmeɪsə/ MAY-sə) is a city in Maricopa County, in the U.S. state of Arizona. It is a suburb located about 20 miles (32 km) east of Phoenix in the East Valley section of the Phoenix Metropolitan Area. It is bordered by Tempe on the west, the Salt River Pima-Maricopa Indian Community on the north, Chandler and Gilbert on the south along with Queen Creek, and Apache Junction on the east. ",,Maricopa,,,John Giles (R),137.88 sq mi (357.10 km2),0.75 sq mi (1.95 km2),"4,857,962 (US: 11st)","1,240 ft (377.952 m)",,UTC−7 (MST (no DST)),85200-85299,"480,602",04-46000,,www.mesaaz.gov,357.1,1.95,,377.952
36,Sacramento,California,508529,466488,9.01,253.6,1953,38°34′00″N 121°28′07″W,"Sacramento (/ˌsækrəˈmɛntoʊ/ SAK-rə-MEN-toh; Spanish: [sakɾaˈmento]) is the capital city of the U.S. state of California and the seat of Sacramento County. Located at the confluence of the Sacramento River and the American River in Northern California's Sacramento Valley, Sacramento's estimated 2018 population of 501,334 makes it the sixth-largest city in California and the ninth largest capital in the United States. Sacramento is the seat of the California Legislature and the Governor of California, making it the state's political center and a hub for lobbying and think tanks. Sacramento is also the cultural and economic core of the Sacramento metropolitan area, which had 2010 population of 2,414,783, making it the fifth largest in California.","Sactown, Sac",Sacramento,City Council,Sacramento City Council,Darrell Steinberg (D),97.92 sq mi (253.62 km2),2.18 sq mi (5.65 km2)  2.19%,"2,149,127",30 ft (9 m),2414783.0,UTC−8 (PST),"942xx, 958xx","916,279",06-64000,Sacramento International AirportSMF (Major/International),cityofsacramento.org,253.62,5.65,2149127.0,9.0
37,Atlanta,Georgia,498044,420003,18.58,345.8,1366,33°45′46″N 84°25′22″W,"Atlanta (/ætˈlæntə/) is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290, it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation. Atlanta is the seat of Fulton County, the most populous county in Georgia.  A small portion of the city extends eastward into neighboring DeKalb County.","The city in a Forest, The ATL, The A, Nicknames of Atlanta","Fulton, DeKalb",,Atlanta City Council,Keisha Lance Bottoms (D),133.2 sq mi (344.9 km2),0.8 sq mi (2.2 km2),"8,376 sq mi (21,690 km2)","738 to 1,050 ft (225 to 320 m)",,UTC−5 (EST),"30060, 30301-30322, 30324-30334, 30336-30350, 30340, 30353, 30363",404-678-470-770,13-04000,,atlantaga.gov,344.9,2.2,21690.0,
38,Kansas City,Missouri,491918,459787,6.99,815.8,590,39°07′30″N 94°33′04″W,"Kansas City is the largest city in the U.S. state of Missouri. According to the U.S. Census Bureau, the city had an estimated population of 491,918 in 2018, making it the 38th most-populous city in the United States. It is the central city of the Kansas City metropolitan area, which straddles the Kansas–Missouri state line. Kansas City was founded in the 1830s as a Missouri River port at its confluence with the Kansas River coming in from the west. On June 1, 1850 the town of Kansas was incorporated; shortly after came the establishment of the Kansas Territory. Confusion between the two ensued and the name Kansas City was assigned to distinguish them soon after.","KC, KCMO, the City of Fountains, or the Heart of America","Jackson, Clay, Platte, Cass",,"Kansas City, Missouri City Council",Sly James (D),314.95 sq mi (815.72 km2),4.08 sq mi (10.57 km2),"7,952 sq mi (20,596 km2)",910 ft (277 m),2487053.0,UTC– 06:00 (CST),"64101-64102, 64105-64106, 64108-64114, 64116-64121, 64123-64134, 64136-64139, 64141, 64144-64149, 64151-64158, 64161, 64163-64168, 64170-64172, 64179-64180, 64183-64184, 64187-64188, 64190-64193, 64195-64199, 64999","816,975,",29000-38000,Kansas City International Airport,KCMO.gov,815.72,10.57,20596.0,277.0
39,Colorado Springs,Colorado,472688,416427,13.51,506.6,918,38°52′02″N 104°45′39″W,"Colorado Springs is a home rule municipality that is the largest city by area in Colorado as well as the county seat and the most populous municipality of El Paso County, Colorado, United States. Colorado Springs is located in the east central portion of the state. It is situated on Fountain Creek and is located 60 miles (97 km) south of the Colorado State Capitol in Denver.","Little London, Olympic City USA, The Springs",El Paso,Home rule municipality,,John Suthers,194.74 sq mi (504.38 km2),0.37 sq mi (0.95 km2),"712,327 (US: 79th)","6,035 ft (1,839 m)",,UTC−7 (MST),"80901-80951, 80960, 80962, 80970, 80977, 80995, 80997",719,08-16000,,coloradosprings.gov,504.38,0.95,,1839.0
